YEAR,REGION,STATE,SEX,SEX_COUNTS
2015,22,Missouri,1,29883
2015,22,Missouri,2,31703
2015,22,Nebraska,1,9464
2015,22,Nebraska,2,9625
2015,22,North Dakota,1,4026
2015,22,North Dakota,2,3843
2015,22,South Dakota,1,4339
2015,22,South Dakota,2,4403
2015,31,Delaware,1,4289
2015,31,Delaware,2,4728
2015,31,District of Columbia,1,3103
2015,31,District of Columbia,2,3507
2015,31,Florida,1,93864
2015,31,Florida,2,100684
2015,31,Georgia,1,47206
2015,31,Georgia,2,50648
2015,31,Maryland,1,28274
2015,31,Maryland,2,31058
2015,31,North Carolina,1,47402
2015,31,North Carolina,2,50782
2015,31,South Carolina,1,23194
2015,31,South Carolina,2,24829
2015,31,Virginia,1,40554
2015,31,Virginia,2,42918
2015,31,West Virginia,1,8759
2015,31,West Virginia,2,9292
2015,32,Alabama,1,22829
2015,32,Alabama,2,24647
2015,32,Kentucky,1,21883
2015,32,Kentucky,2,22866
2015,32,Mississippi,1,14120
2015,32,Mississippi,2,15480
2015,32,Tennessee,1,31702
2015,32,Tennessee,2,33847
2015,33,Arkansas,1,14312
2015,33,Arkansas,2,15293
2015,33,Louisiana,1,21269
2015,33,Louisiana,2,22623
2015,33,Oklahoma,1,18386
2015,33,Oklahoma,2,18865
2015,33,Texas,1,127124
2015,33,Texas,2,132100
2015,41,Arizona,1,32973
2015,41,Arizona,2,34041
2015,41,Colorado,1,26670
2015,41,Colorado,2,26900
2015,41,Idaho,1,7825
2015,41,Idaho,2,7900
2015,41,Montana,1,4979
2015,41,Montana,2,4862
2015,41,Nevada,1,13390
2015,41,Nevada,2,13598
2015,41,New Mexico,1,9232
2015,41,New Mexico,2,9840
2015,41,Utah,1,14614
2015,41,Utah,2,14676
2015,41,Wyoming,1,2938
2015,41,Wyoming,2,2881
2015,42,Alaska,1,3489
2015,42,Alaska,2,3130
2015,42,California,1,184637
2015,42,California,2,190306
2015,42,Hawaii,1,7071
2015,42,Hawaii,2,7053
2015,42,Oregon,1,19694
2015,42,Oregon,2,20298
2015,42,Washington,1,35434
2015,42,Washington,2,36370
2017,11,Connecticut,1,17429
2017,11,Connecticut,2,18549
2017,11,Maine,1,6201
2017,11,Maine,2,6382
2017,11,Massachusetts,1,33502
2017,11,Massachusetts,2,36133
2017,11,New Hampshire,1,6845
2017,11,New Hampshire,2,6863
2017,11,Rhode Island,1,4966
2017,11,Rhode Island,2,5550
2017,11,Vermont,1,3110
2017,11,Vermont,2,3230
2017,12,New Jersey,1,42779
2017,12,New Jersey,2,45335
2017,12,New York,1,95222
2017,12,New York,2,101363
2017,12,Pennsylvania,1,62231
2017,12,Pennsylvania,2,65202
2017,21,Illinois,1,61921
2017,21,Illinois,2,64561
2017,21,Indiana,1,33091
2017,21,Indiana,2,33913
2017,21,Michigan,1,49188
2017,21,Michigan,2,50271
2017,21,Ohio,1,57994
2017,21,Ohio,2,60848
2017,21,Wisconsin,1,29524
2017,21,Wisconsin,2,29535
2017,22,Iowa,1,16036
2017,22,Iowa,2,16420
2017,22,Kansas,1,14563
2017,22,Kansas,2,14811
2017,22,Minnesota,1,27591
2017,22,Minnesota,2,27570
2017,22,Missouri,1,30353
2017,22,Missouri,2,31720
2017,22,Nebraska,1,9662
2017,22,Nebraska,2,9883
2017,22,North Dakota,1,3991
2017,22,North Dakota,2,3901
2017,22,South Dakota,1,4436
2017,22,South Dakota,2,4445
2017,31,Delaware,1,4304
2017,31,Delaware,2,4639
2017,31,District of Columbia,1,3084
2017,31,District of Columbia,2,3481
2017,31,Florida,1,96447
2017,31,Florida,2,103197
2017,31,Georgia,1,48419
2017,31,Georgia,2,51380
2017,31,Maryland,1,28617
2017,31,Maryland,2,30846
2017,31,North Carolina,1,48585
2017,31,North Carolina,2,52648
2017,31,South Carolina,1,23824
2017,31,South Carolina,2,25614
2017,31,Virginia,1,41192
2017,31,Virginia,2,43230
2017,31,West Virginia,1,8658
2017,31,West Virginia,2,9100
2017,32,Alabama,1,22856
2017,32,Alabama,2,24789
2017,32,Kentucky,1,21995
2017,32,Kentucky,2,23214
2017,32,Mississippi,1,13897
2017,32,Mississippi,2,15199
2017,32,Tennessee,1,32295
2017,32,Tennessee,2,34280
2017,33,Arkansas,1,14753
2017,33,Arkansas,2,15268
2017,33,Louisiana,1,21241
2017,33,Louisiana,2,22783
2017,33,Oklahoma,1,18413
2017,33,Oklahoma,2,18692
2017,33,Texas,1,130668
2017,33,Texas,2,135174
2017,41,Arizona,1,34111
2017,41,Arizona,2,34752
2017,41,Colorado,1,27586
2017,41,Colorado,2,28014
2017,41,Idaho,1,8271
2017,41,Idaho,2,8265
2017,41,Montana,1,5119
2017,41,Montana,2,5102
2017,41,Nevada,1,14112
2017,41,Nevada,2,14301
2017,41,New Mexico,1,9274
2017,41,New Mexico,2,9747
2017,41,Utah,1,15499
2017,41,Utah,2,15405
2017,41,Wyoming,1,2965
2017,41,Wyoming,2,2947
2017,42,Alaska,1,3543
2017,42,Alaska,2,3203
2017,42,California,1,186454
2017,42,California,2,191121
2017,42,Hawaii,1,7142
2017,42,Hawaii,2,7291
2017,42,Oregon,1,20304
2017,42,Oregon,2,20915
2017,42,Washington,1,36923
2017,42,Washington,2,37772
2018,11,Connecticut,1,17551
2018,11,Connecticut,2,18736
2018,11,Maine,1,6522
2018,11,Maine,2,6753
2018,11,Massachusetts,1,33880
2018,11,Massachusetts,2,36251
2018,11,New Hampshire,1,6746
2018,11,New Hampshire,2,7034
2018,11,Rhode Island,1,4997
2018,11,Rhode Island,2,5492
2018,11,Vermont,1,3189
2018,11,Vermont,2,3247
2018,12,New Jersey,1,42951
2018,12,New Jersey,2,45635
2018,12,New York,1,95162
2018,12,New York,2,101805
2018,12,Pennsylvania,1,63281
2018,12,Pennsylvania,2,65785
2018,21,Illinois,1,61939
2018,21,Illinois,2,64517
2018,21,Indiana,1,33254
2018,21,Indiana,2,34426
2018,21,Michigan,1,49178
2018,21,Michigan,2,50241
2018,21,Ohio,1,58246
2018,21,Ohio,2,60840
2018,21,Wisconsin,1,30364
2018,21,Wisconsin,2,29469
2018,22,Iowa,1,15992
2018,22,Iowa,2,16370
2018,22,Kansas,1,14634
2018,22,Kansas,2,14933
2018,22,Minnesota,1,28090
2018,22,Minnesota,2,27693
2018,22,Missouri,1,30647
2018,22,Missouri,2,31769
2018,22,Nebraska,1,9647
2018,22,Nebraska,2,9804
2018,22,North Dakota,1,4049
2018,22,North Dakota,2,3827
2018,22,South Dakota,1,4521
2018,22,South Dakota,2,4465
2018,31,Delaware,1,4367
2018,31,Delaware,2,4756
2018,31,District of Columbia,1,3127
2018,31,District of Columbia,2,3422
2018,31,Florida,1,98253
2018,31,Florida,2,103907
2018,31,Georgia,1,48958
2018,31,Georgia,2,51897
2018,31,Maryland,1,28795
2018,31,Maryland,2,31045
2018,31,North Carolina,1,49350
2018,31,North Carolina,2,53173
2018,31,South Carolina,1,23991
2018,31,South Carolina,2,25827
2018,31,Virginia,1,41280
2018,31,Virginia,2,43475
2018,31,West Virginia,1,8924
2018,31,West Virginia,2,9142
2018,32,Alabama,1,22972
2018,32,Alabama,2,24805
2018,32,Kentucky,1,22304
2018,32,Kentucky,2,23171
2018,32,Mississippi,1,13890
2018,32,Mississippi,2,15234
2018,32,Tennessee,1,33074
2018,32,Tennessee,2,34876
2018,33,Arkansas,1,14782
2018,33,Arkansas,2,15721
2018,33,Louisiana,1,21047
2018,33,Louisiana,2,22542
2018,33,Oklahoma,1,18738
2018,33,Oklahoma,2,18910
2018,33,Texas,1,131412
2018,33,Texas,2,136688
2018,41,Arizona,1,34701
2018,41,Arizona,2,35289
2018,41,Colorado,1,27843
2018,41,Colorado,2,28085
2018,41,Idaho,1,8338
2018,41,Idaho,2,8373
2018,41,Montana,1,5237
2018,41,Montana,2,5099
2018,41,Nevada,1,14355
2018,41,Nevada,2,14572
2018,41,New Mexico,1,9441
2018,41,New Mexico,2,9806
2018,41,Utah,1,15707
2018,41,Utah,2,15896
2018,41,Wyoming,1,2855
2018,41,Wyoming,2,2885
2018,42,Alaska,1,3507
2018,42,Alaska,2,3204
2018,42,California,1,186677
2018,42,California,2,192140
2018,42,Hawaii,1,7198
2018,42,Hawaii,2,7202
2018,42,Oregon,1,20865
2018,42,Oregon,2,21252
2018,42,Washington,1,37790
2018,42,Washington,2,38435
