STATEFIP,YEAR,MONTH,REGION,COUNTY,AGE,SEX,RACE,BUNBANKED,BACCTEV,BCHECKEV,BCHECK12M,BCHECKREAS,BPAYDAY,BPAYDAYOFT,BPAYDAYREAS,BCHECK30D,BPAYDAY12M,BPAYDAY30D,BINCWHERE,BBILLCASH,BBILLCHECK,BCREDITAPP,BCREDITDENY,BNOACCT,BSAVECACCT,BINC12M,BINTERNET,BPSUPINT,CIHHCOMP,CINETHH,CINETHP,CINTUSE,CINTOUT,CINTOTHH,CINTLIBH,CINTSCH,CINTSCHH,CINONET,CIHSNET,CIPWT,CISUPPWT,UBSUPPWT
51,2012,2824,2824,2824,2824,2824,2824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2824,0,0,0,2824,0,2824,2824,2824,2824,2824,0
51,2013,5760,5760,5760,5760,5760,5760,2902,2902,0,2902,0,2902,0,0,2902,2902,2902,0,0,0,0,0,2902,0,0,0,2902,0,0,2858,0,2858,2858,0,2858,0,2858,2858,2858,2858,2902
51,2015,4870,4870,4870,4870,4870,4870,2489,2489,0,2489,0,0,0,0,0,2489,0,2489,2489,2489,2489,2489,2489,2489,2489,2489,2489,0,0,2381,0,2381,2381,0,2381,0,0,0,2381,2381,2489
51,2017,4688,4688,4688,4688,4688,4688,2255,2255,0,2255,0,0,0,0,0,2255,0,2255,2255,2255,2255,2255,2255,2255,2255,2255,2255,0,0,2433,0,2433,2433,0,2433,0,0,0,2433,2433,2255
53,2009,4594,4594,4594,4594,4594,4594,2231,2231,2231,0,2231,2231,2231,2231,0,2231,0,0,0,0,0,0,0,0,0,0,2231,0,2363,0,2363,0,0,0,0,0,0,2363,0,2363,2231
53,2010,2380,2380,2380,2380,2380,2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,2380,0,0,0,0,2380,0,2380,2380,2380,0,2380,0
53,2011,4692,4692,4692,4692,4692,4692,2377,2377,0,2377,2377,2377,0,2377,2377,2377,2377,0,0,0,0,0,0,0,0,0,2377,0,0,2315,0,0,2315,0,2315,0,2315,2315,2315,2315,2377
53,2012,2324,2324,2324,2324,2324,2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2324,0,0,0,2324,0,2324,2324,2324,2324,2324,0
53,2013,4752,4752,4752,4752,4752,4752,2410,2410,0,2410,0,2410,0,0,2410,2410,2410,0,0,0,0,0,2410,0,0,0,2410,0,0,2342,0,2342,2342,0,2342,0,2342,2342,2342,2342,2410
53,2015,4759,4759,4759,4759,4759,4759,2334,2334,0,2334,0,0,0,0,0,2334,0,2334,2334,2334,2334,2334,2334,2334,2334,2334,2334,0,0,2425,0,2425,2425,0,2425,0,0,0,2425,2425,2334
53,2017,4615,4615,4615,4615,4615,4615,2311,2311,0,2311,0,0,0,0,0,2311,0,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311,0,0,2304,0,2304,2304,0,2304,0,0,0,2304,2304,2311
54,2009,3065,3065,3065,3065,3065,3065,1563,1563,1563,0,1563,1563,1563,1563,0,1563,0,0,0,0,0,0,0,0,0,0,1563,0,1502,0,1502,0,0,0,0,0,0,1502,0,1502,1563
54,2010,1493,1493,1493,1493,1493,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,1493,0,0,0,0,1493,0,1493,1493,1493,0,1493,0
54,2011,2957,2957,2957,2957,2957,2957,1534,1534,0,1534,1534,1534,0,1534,1534,1534,1534,0,0,0,0,0,0,0,0,0,1534,0,0,1423,0,0,1423,0,1423,0,1423,1423,1423,1423,1534
54,2012,1449,1449,1449,1449,1449,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1449,0,0,0,1449,0,1449,1449,1449,1449,1449,0
54,2013,2793,2793,2793,2793,2793,2793,1428,1428,0,1428,0,1428,0,0,1428,1428,1428,0,0,0,0,0,1428,0,0,0,1428,0,0,1365,0,1365,1365,0,1365,0,1365,1365,1365,1365,1428
54,2015,5948,5948,5948,5948,5948,5948,2912,2912,0,2912,0,0,0,0,0,2912,0,2912,2912,2912,2912,2912,2912,2912,2912,2912,2912,0,0,3036,0,3036,3036,0,3036,0,0,0,3036,3036,2912
54,2017,5426,5426,5426,5426,5426,5426,2692,2692,0,2692,0,0,0,0,0,2692,0,2692,2692,2692,2692,2692,2692,2692,2692,2692,2692,0,0,2734,0,2734,2734,0,2734,0,0,0,2734,2734,2692
55,2009,5135,5135,5135,5135,5135,5135,2578,2578,2578,0,2578,2578,2578,2578,0,2578,0,0,0,0,0,0,0,0,0,0,2578,0,2557,0,2557,0,0,0,0,0,0,2557,0,2557,2578
55,2010,2605,2605,2605,2605,2605,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605,2605,0,0,0,0,2605,0,2605,2605,2605,0,2605,0
55,2011,5379,5379,5379,5379,5379,5379,2690,2690,0,2690,2690,2690,0,2690,2690,2690,2690,0,0,0,0,0,0,0,0,0,2690,0,0,2689,0,0,2689,0,2689,0,2689,2689,2689,2689,2690
55,2012,2580,2580,2580,2580,2580,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580,0,0,0,2580,0,2580,2580,2580,2580,2580,0
55,2013,5156,5156,5156,5156,5156,5156,2583,2583,0,2583,0,2583,0,0,2583,2583,2583,0,0,0,0,0,2583,0,0,0,2583,0,0,2573,0,2573,2573,0,2573,0,2573,2573,2573,2573,2583
55,2015,3743,3743,3743,3743,3743,3743,1957,1957,0,1957,0,0,0,0,0,1957,0,1957,1957,1957,1957,1957,1957,1957,1957,1957,1957,0,0,1786,0,1786,1786,0,1786,0,0,0,1786,1786,1957
55,2017,3648,3648,3648,3648,3648,3648,1865,1865,0,1865,0,0,0,0,0,1865,0,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,0,0,1783,0,1783,1783,0,1783,0,0,0,1783,1783,1865
56,2009,3587,3587,3587,3587,3587,3587,1758,1758,1758,0,1758,1758,1758,1758,0,1758,0,0,0,0,0,0,0,0,0,0,1758,0,1829,0,1829,0,0,0,0,0,0,1829,0,1829,1758
56,2010,1861,1861,1861,1861,1861,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1861,1861,0,0,0,0,1861,0,1861,1861,1861,0,1861,0
56,2011,3468,3468,3468,3468,3468,3468,1710,1710,0,1710,1710,1710,0,1710,1710,1710,1710,0,0,0,0,0,0,0,0,0,1710,0,0,1758,0,0,1758,0,1758,0,1758,1758,1758,1758,1710
56,2012,1677,1677,1677,1677,1677,1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677,0,0,0,1677,0,1677,1677,1677,1677,1677,0
56,2013,3304,3304,3304,3304,3304,3304,1674,1674,0,1674,0,1674,0,0,1674,1674,1674,0,0,0,0,0,1674,0,0,0,1674,0,0,1630,0,1630,1630,0,1630,0,1630,1630,1630,1630,1674
56,2015,3721,3721,3721,3721,3721,3721,1849,1849,0,1849,0,0,0,0,0,1849,0,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,0,0,1872,0,1872,1872,0,1872,0,0,0,1872,1872,1849
56,2017,3759,3759,3759,3759,3759,3759,1845,1845,0,1845,0,0,0,0,0,1845,0,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,0,0,1914,0,1914,1914,0,1914,0,0,0,1914,1914,1845
